publication_id,output_filename,generator,generator_function,required_inputs,upstream_dependency,reproducible_from_archive,external_or_unavailable,verification,notes
Table S2,outputs/tables/publication/TableS2_canonical_split_leakage_and_five_seed_validation.csv,src/slahla_pub/tables.py,table_s2,data/source_data/canonical_split_summary.csv; outputs/tables/canonical_validation_across_seeds.csv,slahla_pub.ensemble from archived run configs,recomputed,,EXACT against the approved table (10 rows x 28 columns),
Table S3,outputs/tables/publication/TableS3_HLA_eplet_associated_position_statistics.csv,src/slahla_pub/tables.py + eplet_stats.py,table_s3,data/eplet_agreement/identity_eplet_agreement.parquet; eplet position mask,MAFFT registry projection + identity pairing (optional upstream),recomputed (carried from archived statistics without the eplet mask),needs the eplet position mask; without it the archived statistics are carried,"EXACT against the approved table (14 rows x 26 columns), bootstrap and permutation values included",Bootstrap (2000) and circular shifts (10000) reproduced exactly under the original seed 20260913.
Table S4a,outputs/tables/publication/TableS4a_structural_model_confidence_per_model.csv,src/slahla_pub/structural.py,confidence + reference_superpositions,data/structures/models/*.pdb (23); data/structures/reference/*.pdb (3); structure_reference_map.json,ColabFold/AlphaFold2 monomer prediction (optional upstream),recomputed (needs PyMOL),PyMOL required; without it the approved table is carried,EXACT against the approved table (23 rows x 35 columns),pLDDT from the B-factor column; reference superposition by cmd.cealign.
Table S4b,outputs/tables/publication/TableS4b_structural_superpositions_per_pair.csv,src/slahla_pub/structural.py,superpositions + pair_identity,data/structures/models/*.pdb (24); structure_reference_map.json; MAFFT for the two identity columns,ColabFold/AlphaFold2 monomer prediction (optional upstream),recomputed (needs PyMOL; MAFFT for 2 columns),without MAFFT the two identity columns fall back to the approved values and identity_method records that,"45 measurement columns EXACT; identity columns reproduce on 9 of 10 rows (class1_F_alt differs - a historical comparison, not a panel)","Three superposition methods: cealign, super, align, plus groove/rest domain RMSDs. Historical submitted-version fields moved to TableS4b_provenance_submitted_version.csv. record_level now separates the nine displayed panels from the historical comparison row."
Table S5,outputs/tables/publication/TableS5_structural_position_annotations.csv,src/slahla_pub/tables.py,table_s5,data/source_data/structural_labels_v6.csv,structural annotation pipeline (archived),recomputed,,EXACT against the approved table (148 rows x 38 columns),Displayed positions only; published_position is presented as canonical_residue_number.
Table S6,outputs/tables/publication/TableS6_experimental_validation_priorities.csv,src/slahla_pub/tables.py,table_s6,data/eplet_agreement/identity_eplet_agreement.parquet; approved Table S6 for the registry and structural columns,per-position agreement + HLA Eplet Registry names + structural contact distances,"partial (agreement columns recomputed, coverage CORRECTED)","eplet_names, eplet_loci_defining, eplet_name_source, eplet_named_in_registry_group_mask, eplet_analysis_support and is_eplet_associated need the licensed HLA Eplet Registry","mean_agreement/divergence/n_pairs_covering exact (max 1.1e-16); coverage recomputed with the documented class denominator, correcting class I position 312",CORRECTION C1: the approved coverage divided by the matrix rows present at each position rather than the class pair count.
Supplementary workbook,publication_artwork/tables/SLA_Supplementary_Tables.xlsx,(approved materials),,the seven table CSVs,,archived,,carried unchanged,The workbook and the CSVs carry the same Tables S1-S6.
Table S4b provenance,outputs/tables/publication/TableS4b_provenance_submitted_version.csv,src/slahla_pub/tables.py,table_s4b_provenance,approved Table S4b (submitted-version fields),the submitted version of the manuscript,archived,HISTORICAL by construction,row and column count checked; not a current publication table,"Holds what the SUBMITTED manuscript carried: its legend allele, its printed RMSD and the deltas against it. Separated from Table S4b so historical values cannot be read as current ones."
Structural panel audit,outputs/reports/structural_panel_audit.csv,src/slahla_pub/structural.py,panel_audit,render_report.json; structural_panel_manifest_v6.csv; recomputed superpositions,PyMOL superposition of the deposited models,recomputed,,all 9 displayed panels agree; three independent records within 0.0005 A,Reconciles what each final panel prints against the adopted and recomputed measurement.
Column provenance map,outputs/reports/column_provenance.csv,src/slahla_pub/output_provenance.py,classify,the assembled publication tables,all upstream stages,recomputed,,"every column classified as recomputed / carried / external_not_executed / key, and each recomputed column re-derived and compared",Distinguishes independent recomputation from exact agreement with an archived value.
Table S1 cell differences,outputs/reports/tableS1_cell_differences.csv,src/slahla_pub/s1_audit.py,compare,curated haplotype workbooks; approved Table S1,-,recomputed,,"4 differing cells of 492, each with cause and manuscript impact",
Corrected supplementary workbook,outputs/tables/SLA_Supplementary_Tables_corrected.xlsx,scripts/build_corrected_workbook.py,main,publication_artwork/tables/SLA_Supplementary_Tables.xlsx; outputs/tables/publication/*.csv,the regenerated publication tables,recomputed,,every sheet verified cell by cell against its regenerated CSV (AGREE),"Formatting, sheet names, column order, number formats and Contents notes preserved; the delivered workbook is not modified."
S4b alignment evidence,data/carried/tableS4b_pair_identity_verified.csv,src/slahla_pub/structural.py,pair_identity,the 24 deposited model PDBs; MAFFT,ColabFold/AlphaFold2 monomer prediction,recomputed,MAFFT required,"model checksums, aligner version, numerator and denominator for all 10 pairs",Supports correction C2.
